id,ville,arrondissement,quartier,surface_m2,nb_pieces,nb_chambres,nb_salles_bain,etage,ascenseur,annee_construction,etat_logement,type_chauffage,climatisation,parking,balcon,terrasse,cave,meuble,distance_centre_ville_km,zone_type,transports_publics_score,commerces_proximite_score,ecoles_proximite_score,agence_type,annee,mois,prix_loyer_mensuel,gamme_prix,prix_m2,age_batiment,score_commodites,score_environnement_global,densite_logement,categorie_logement
LOC_000001,Paris,9ème,Quartier_9ème,50.9,3,2,1,11,Oui,1989,Très_bon,Électrique,Oui,Oui,Non,Oui,Oui,Non,2.0,Centre,5,4,4,Agence_nationale,2024,2,2731,> 2500€,53.654223968565816,35,4,4.333333333333333,3.9292730844793713,T3
LOC_000002,Strasbourg,Sud,Résidentiel,24.1,1,0,1,1,Oui,1874,Bon,Électrique,Non,Oui,Non,Oui,Non,Oui,14.5,Banlieue,2,4,4,Agence_nationale,2022,3,404,< 800€,16.76348547717842,150,2,3.3333333333333335,0.0,Studio
LOC_000003,Lyon,Centre,Commerce,84.7,4,3,2,4,Oui,1943,Bon,Électrique,Non,Non,Non,Non,Non,Non,2.0,Centre,4,4,4,Promoteur,2024,4,2008,1800-2500€,23.70720188902007,81,0,4.0,3.5419126328217234,T4
LOC_000004,Bordeaux,Nord,Industriel,30.4,2,1,1,0,Non,1952,Bon,Gaz,Non,Non,Oui,Non,Non,Non,12.3,Banlieue,2,2,3,Agence_locale,2023,11,512,< 800€,16.842105263157894,72,1,2.3333333333333335,3.289473684210526,T2
LOC_000005,Bordeaux,Ouest,Résidentiel,45.0,3,1,1,5,Oui,1885,Moyen,Gaz,Oui,Oui,Non,Non,Non,Oui,8.1,Périphérie,2,4,3,Agence_nationale,2022,12,806,800-1200€,17.91111111111111,139,2,3.0,2.2222222222222223,T3
LOC_000006,Lyon,Ouest,Résidentiel,59.4,3,1,1,6,Oui,1850,À_rénover,Fuel,Non,Oui,Oui,Non,Non,Oui,7.1,Périphérie,3,4,4,Agence_locale,2024,1,1036,800-1200€,17.441077441077443,174,2,3.6666666666666665,1.6835016835016834,T3
LOC_000007,Marseille,Ouest,Banlieue,26.2,2,1,1,0,Oui,1942,À_rénover,Fuel,Non,Oui,Non,Non,Oui,Non,10.2,Banlieue,1,4,2,Agence_locale,2022,6,316,< 800€,12.061068702290077,82,2,2.3333333333333335,3.816793893129771,T2
LOC_000008,Bordeaux,Nord,Résidentiel,29.7,2,1,1,8,Oui,1901,Moyen,Électrique,Non,Oui,Non,Non,Oui,Oui,10.3,Banlieue,1,4,4,Agence_locale,2024,8,706,< 800€,23.77104377104377,123,2,3.0,3.3670033670033668,T2
LOC_000009,Paris,3ème,Quartier_3ème,30.9,2,1,1,3,Oui,1858,À_rénover,Gaz,Non,Non,Oui,Non,Non,Non,1.4,Centre,5,4,4,Promoteur,2024,4,998,800-1200€,32.297734627831716,166,1,4.333333333333333,3.2362459546925573,T2
LOC_000010,Lyon,Est,Industriel,30.1,2,1,1,10,Oui,2015,Neuf,Électrique,Non,Non,Oui,Oui,Non,Non,8.6,Périphérie,2,3,2,Particulier,2022,2,679,< 800€,22.55813953488372,9,2,2.3333333333333335,3.322259136212624,T2
